ContractNaturalId,PlanetNaturalId,PlanetName,OriginPlanetNaturalId,OriginPlanetName,DestinationPlanetNaturalId,DestinationPlanetName,CargoWeight,CargoVolume,CreatorCompanyName,CreatorCompanyCode,PayoutPrice,PayoutCurrency,DeliveryTime,CreationTimeEpochMs,ExpiryTimeEpochMs,MinimumRating
23886,ANT,Antares Station,ANT,Antares Station,LS-014a,Volta,931.5999755859375,400.0,Rahej Incorporated,RAH,10000.0,AIC,3,1761409348542,1761668548542,
23885,ANT,Antares Station,ANT,Antares Station,MOR,Moria Station,486.0,180.0,Soletta Engineering,SLE,5000.0,NCC,3,1761408787310,1762272787310,
23884,ANT,Antares Station,ANT,Antares Station,MOR,Moria Station,486.0,180.0,Soletta Engineering,SLE,5000.0,NCC,3,1761408786597,1762272786597,
23883,ANT,Antares Station,ANT,Antares Station,MOR,Moria Station,486.0,180.0,Soletta Engineering,SLE,5000.0,NCC,3,1761408785825,1762272785825,
23882,ANT,Antares Station,ANT,Antares Station,MOR,Moria Station,486.0,180.0,Soletta Engineering,SLE,5000.0,NCC,3,1761408784978,1762272784978,
23881,ANT,Antares Station,SE-648c,SE-648c,ANT,Antares Station,505.6000061035156,320.0,Advanced Metallurgy Corp,AMC,7584.0,AIC,5,1761400637705,1761659837705,
23880,ANT,Antares Station,SE-648c,SE-648c,ANT,Antares Station,616.1400146484375,540.0,Advanced Metallurgy Corp,AMC,9243.0,AIC,5,1761400582406,1761659782406,
23872,ANT,Antares Station,ANT,Antares Station,QJ-684b,Aceland,2.0999999046325684,2.0,Terrae Matris Collective,JHYN,500.0,AIC,4,1761379493794,1761552293794,
23863,ANT,Antares Station,QJ-382a,QJ-382a,ANT,Antares Station,1800.0,5000.0,Archiel Industries,ARCL,90000.0,AIC,2,1761279612051,1762143612051,
23856,ANT,Antares Station,QJ-382a,QJ-382a,ANT,Antares Station,180.0,500.0,Archiel Industries,ARCL,9000.0,AIC,2,1761279578672,1762143578672,
22028,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,128.0,128.0,Dracarys Space Industries,DDSI,2000.0,CIS,5,1761412224240,1762276224240,
22027,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,268.79998779296875,128.0,Dracarys Space Industries,DDSI,3000.0,CIS,5,1761412211868,1762276211868,
22026,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,3.200000047683716,3.200000047683716,Dracarys Space Industries,DDSI,100.0,CIS,5,1761412197232,1762276197232,
22025,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,16.0,16.0,Dracarys Space Industries,DDSI,300.0,CIS,5,1761412180652,1762276180652,
22024,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,3.200000047683716,4.0,Dracarys Space Industries,DDSI,100.0,CIS,5,1761412165860,1762276165860,
22023,BEN,Benten Station,BEN,Benten Station,KW-358b,Giedi Prime,220.0,88.0,Dracarys Space Industries,DDSI,2200.0,CIS,5,1761412137667,1762276137667,
22022,BEN,Benten Station,BEN,Benten Station,MOR,Moria Station,0.024000000208616257,0.23999999463558197,Xenofungus,MUSH,5000.0,CIS,5,1761411423699,1762707423699,
22020,BEN,Benten Station,BEN,Benten Station,ANT,Antares Station,625.0,625.0,Allayas,YAS,9750.0,CIS,3,1761402125694,1762266125694,
22019,BEN,Benten Station,BEN,Benten Station,UV-351c,Umbra,18.479999542236328,8.800000190734863,Brajah,BRJH,360.0,CIS,5,1761400830991,1761487230991,
22018,BEN,Benten Station,BEN,Benten Station,JS-570a,Singren,8.100000381469727,27.0,Brajah,BRJH,540.0,CIS,3,1761400631330,1761573431330,
22017,BEN,Benten Station,CB-282d,CB-282d,BEN,Benten Station,35.0,500.0,Mobile,OIL,8000.0,CIS,5,1761400506815,1763128506815,
22016,BEN,Benten Station,CB-282d,CB-282d,BEN,Benten Station,35.0,500.0,Mobile,OIL,8000.0,CIS,5,1761400504602,1763128504602,
22015,BEN,Benten Station,BEN,Benten Station,UV-351a,Katoa,3.359999895095825,3.200000047683716,Mobile,OIL,100.0,CIS,1,1761390353778,1761649553778,
22003,BEN,Benten Station,BEN,Benten Station,ANT,Antares Station,500.0,500.0,Smelting & Carbonisation Ring,SCR,6000.0,CIS,3,1761373008737,1761805008737,
21990,BEN,Benten Station,BEN,Benten Station,JS-570a,Singren,474.239990234375,197.60000610351562,Triple A Goods,AAA,8711.0,CIS,3,1761313798084,1761745798084,
21989,BEN,Benten Station,BEN,Benten Station,JS-570a,Singren,6.400000095367432,96.0,Triple A Goods,AAA,1711.0,CIS,3,1761313767045,1761745767045,
21975,BEN,Benten Station,BEN,Benten Station,XH-329a,Uponor,494.54998779296875,63.0,Amber Corp,ACO,10000.0,CIS,3,1761306657829,1761738657829,
21974,BEN,Benten Station,BEN,Benten Station,XH-329a,Uponor,494.54998779296875,63.0,Amber Corp,ACO,10000.0,CIS,3,1761306653531,1761738653531,
21926,BEN,Benten Station,HRT,Hortus Station,BEN,Benten Station,11.0,110.0,Peregrine Mercantile,PM,5500.0,CIS,5,1761255452130,1762119452130,
1860,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447101042,1763039101042,
1859,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447100517,1763039100517,
1858,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447099875,1763039099875,
1857,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447099208,1763039099208,
1856,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447097695,1763039097695,
1855,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447097149,1763039097149,
1854,ARC,Arclight Station,ARC,Arclight Station,BEN,Benten Station,500.0,500.0,Vox Lunaris,VLNS,20000.0,CIS,20,1760447096558,1763039096558,
3642,CB-282d,CB-282d,CB-282d,CB-282d,BEN,Benten Station,35.0,500.0,NIKNIK's Co,NIK,7000.0,CIS,3,1761382188496,1761814188496,
3641,CB-282d,CB-282d,CB-282d,CB-282d,BEN,Benten Station,35.0,500.0,NIKNIK's Co,NIK,7000.0,CIS,3,1761382187944,1761814187944,
3640,CB-282d,CB-282d,CB-282d,CB-282d,BEN,Benten Station,35.0,500.0,NIKNIK's Co,NIK,7000.0,CIS,3,1761382187311,1761814187311,
31296,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,КарбоДол,DSCF,12500.0,ICA,5,1761395202286,1762259202286,
31295,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,КарбоДол,DSCF,12500.0,ICA,5,1761395201532,1762259201532,
31294,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,КарбоДол,DSCF,12500.0,ICA,5,1761395200655,1762259200655,
31293,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,КарбоДол,DSCF,12500.0,ICA,5,1761395199820,1762259199820,
31292,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,КарбоДол,DSCF,12500.0,ICA,5,1761395198906,1762259198906,
31271,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,Pantheon Corporation,PTH,12500.0,ICA,5,1761377914030,1761809914030,
31270,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,Pantheon Corporation,PTH,12500.0,ICA,5,1761377909534,1761809909534,
31269,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,500.0,500.0,Pantheon Corporation,PTH,12500.0,ICA,5,1761377906838,1761809906838,
31268,FK-794b,Boucher,FK-794b,Boucher,VH-331a,Promitor,500.0,500.0,Pantheon Corporation,PTH,15000.0,ICA,5,1761377857255,1761809857255,
31267,FK-794b,Boucher,FK-794b,Boucher,VH-331a,Promitor,500.0,500.0,Pantheon Corporation,PTH,15000.0,ICA,5,1761377855362,1761809855362,
31266,FK-794b,Boucher,FK-794b,Boucher,VH-331a,Promitor,500.0,500.0,Pantheon Corporation,PTH,15000.0,ICA,5,1761377847718,1761809847718,
31265,FK-794b,Boucher,FK-794b,Boucher,VH-331a,Promitor,500.0,500.0,Pantheon Corporation,PTH,15000.0,ICA,5,1761377844674,1761809844674,
31232,FK-794b,Boucher,FK-794b,Boucher,HRT,Hortus Station,999.9000244140625,909.0,orangeazure,OAZ,16000.0,ICA,3,1761093625850,1763685625850,
